Company , Domain , SecurityGateway , MailGateway , MX
Gilead Sciences , gilead ,  , Office 365 , gilead-com.mail.protection.outlook.com
Publix Super Markets , publix ,  , own-domain , mail.publix.com
General Dynamics , generaldynamics ,  ,  , mx1.gendyn.com
TJX , tjx , MessageLabs , unknown , cluster6.us.messagelabs.com
ConocoPhillips , conocophillips ,  , Office 365 , conocophillips-com.mail.protection.outlook.com
Nike , nike , ProofPoint , unknown , mxb-001b6002.gslb.pphosted.com
World Fuel Services , wfscorp ,  , own-domain , smtp4.wfscorp.com
3M , 3m , Forcepoint , unknown , cust43457-1.in.mailcontrol.com
Mondelez International , mondelezinternational ,  ,  , custmx.cscdns.net
Exelon , exeloncorp ,  , own-domain , esa-ccc-102.exeloncorp.com
Twenty-First Century Fox , 21cf , ProofPoint , unknown , mxb-001cd501.gslb.pphosted.com
Deere , johndeere , ProofPoint , unknown , mxa-000e4101.gslb.pphosted.com
Tesoro , tsocorp ,  , Office 365 , tsocorp-com.mail.protection.outlook.com
Time Warner , timewarner , ProofPoint , unknown , mxa-00241e01.gslb.pphosted.com
Northwestern Mutual , northwesternmutual ,  , own-domain , mx10.northwesternmutual.com
DuPont , dupont , ProofPoint , unknown , mxa-001dcd02.gslb.pphosted.com
Avnet , avnet ,  , own-domain , smarthost.avnet.com
Macy’s , macys , ProofPoint , unknown , mxb-0009cc01.gslb.pphosted.com
Enterprise Products Partners , eprod ,  , own-domain , smtp2.eprod.com
Travelers Cos. , travelers ,  ,  , emailk.spt.com
Philip Morris International , pmi ,  , Office 365 , pmi-com.mail.protection.outlook.com
Rite Aid , riteaid , ProofPoint , unknown , mxb-00005c01.gslb.pphosted.com
Tech Data , techdata , ProofPoint , unknown , mxb-00277801.gslb.pphosted.com
McDonald’s , mcdonalds ,  , own-domain , sesmail.mcdonalds.com
Qualcomm , qualcomm ,  , own-domain , gatewaypony01.qualcomm.com
Sears Holdings , searsholdings ,  , own-domain , searsholdings.com
Sears Holdings , sears ,  , Office 365 , sears-com.mail.protection.outlook.com
Capital One Financial , capitalone ,  , own-domain , kimail04.capitalone.com
EMC , emc , Cisco , unknown , mx1.dellcorporate.iphmx.com
USAA , usaa ,  , own-domain , prodmx3l.usaa.com
Duke Energy , duke-energy ,  , own-domain , mx10.duke-energy.com
Time Warner Cable , twc ,  ,  , dnvrco-cmedge02.email.rr.com
Halliburton , halliburton , ProofPoint , unknown , mxb-0000bf01.gslb.pphosted.com
Northrop Grumman , ngc ,  ,  , mail1.northgrum.com
Arrow Electronics , arrow ,  , Office 365 , arrow-com.mail.protection.outlook.com
