Company , Domain , SecurityGateway , Mail Domain , MX
Quanta Computer , quanta ,  , own-domain , mail.quanta.com
Schlumberger , schlumberger ,  ,  , mail8.reachmail.net
A.P. Moller-Maersk A/S , maersk ,  , Office365 , maersk-com.mail.protection.outlook.com
Bayer , bayer ,  ,  , smtpmx01.bayer.de
Lufthansa Group , lufthansa ,  ,  , mx1.lhsystems.com
Ericsson , ericsson ,  , own-domain , sessmg11.ericsson.net
Jinneng Group , jinneng ,  ,  , 
Renault , renault ,  ,  , smtp.renault.fr
Tesco , tesco , Forcepoint , unknown , cust7886-2.in.mailcontrol.com
China National Offshore Oil , cnooccom ,  ,  , mail.cnooc.com.cn
TUI , tui , Forcepoint , unknown , cust1976-1.in.mailcontrol.com
Sanofi , sanofi ,  , own-domain , xspz10f564t.sanofi.com
BASF , basf ,  , Office365 , basf.mail.protection.outlook.com
China Communications Construction , ccccltd ,  ,  , mail.ccccltd.cn
HNA Group , hna ,  , GoDaddy , smtp.secureserver.net
Banco do Brasil , bbcom ,  ,  , srdfmailer01.bb.com.br
Jardine Matheson , jardines , MessageLabs , unknown , cluster1.hk.messagelabs.com
Lukoil , lukoil ,  , own-domain , gltb-mx1.lukoil.com
Hyundai Motor , hyundai ,  , own-domain , mail.hyundai.com
Royal Bank of Scotland Group , rbs ,  , own-domain , mail07.rbs.com
Sodexo , sodexo , MessageLabs , unknown , cluster4.us.messagelabs.com
Christian Dior , dior ,  , own-domain , mx.dior.com
Glencore , glencore ,  , own-domain , mail1.glencore.com
Wesfarmers , wesfarmerscom , MessageLabs , unknown , cluster6.us.messagelabs.com
Flextronics International , flextronics , MessageLabs , unknown , cluster1.us.messagelabs.com
Barclays , barclays , MessageLabs , unknown , cluster3.eu.messagelabs.com
Wuhan Iron & Steel , wugangaustraliacom ,  ,  , 
VTB Bank , vtb ,  ,  , post.vtb.ru
Total , total ,  , own-domain , mail01.par.totalfinaelf.net
China Datang , cccmeorg ,  ,  , qiye163mx01.mxmail.netease.com
Sainsburys , sainsburys , MessageLabs , unknown , cluster1.eu.messagelabs.com
ChemChina , chemchina ,  , own-domain , smtp01.chemchina.com
NEC , nec ,  , Office365 , nec-com.mail.protection.outlook.com
Volvo , volvo ,  , own-domain , mail-gw4.it.volvo.com
Deutsche Bank , db ,  , own-domain , smtp14.db.com
GlaxoSmithKline , gsk ,  , Office365 , gsk-com.mail.protection.outlook.com
AXA , axa ,  , own-domain , mrelay2.axa.com
Sinopharm , sinopharm ,  , own-domain , mail.sinopharm.com
Michelin , michelin , MessageLabs , unknown , cluster1.eu.messagelabs.com
Vodafone Group , vodafone , MessageLabs , unknown , cluster5.eu.messagelabs.com
Royal Dutch Shell , shell ,  , Office365 , shell-com.mail.protection.outlook.com
CFE , cfe ,  ,  , mail.rfe.net
SAIC Motor , saic ,  , own-domain , EM-MXP20.saic.com
Danone , danone , MessageLabs , unknown , cluster5.eu.messagelabs.com
Alstom , alstom ,  , Office365 , alstom-com.mail.protection.outlook.com
Intesa Sanpaolo , intesasanpaolo ,  , own-domain , mail1.intesasanpaolo.com
Roche Group , roche ,  , own-domain , mailgate4.roche.com
BT Group , bt ,  ,  , smtpe1.intersmtp.com
Morrisons , morrisons ,  , Google , aspmx.l.google.com
BP , bp , MessageLabs , unknown , cluster8.us.messagelabs.com
Toronto-Dominion Bank , tdbank , MessageLabs , unknown , cluster5.us.messagelabs.com
ENI , eni ,  , Office365 , enispa.mail.protection.outlook.com
LG Electronics , lg ,  , own-domain , spam.lg.com
Mitsubishi Heavy Industries , mhi ,  ,  , 
SK Holdings , sk ,  , own-domain , spmail.sk.com
CRH , crh , MessageLabs , unknown , cluster8.eu.messagelabs.com
Petrobras , petrobras ,  , own-domain , correio2.petrobras.com.br
Loreal , loreal ,  , own-domain , smtp1.loreal.com
Lenovo Group , lenovo , MessageLabs , unknown , cluster9.us.messagelabs.com
AstraZeneca , astrazeneca , MessageLabs , unknown , cluster8.eu.messagelabs.com
Heineken Holding , heineken ,  , Office365 , heineken-com.mail.protection.outlook.com
