Company , Domain , SecurityGateway , Mail Domain , MX
CHS , chsinc.com , ProofPoint , unknown , mxa-002ae201.gslb.pphosted.com
American Express , aexp.com , ProofPoint , unknown , mx0b-0023b801.pphosted.com
Gilead Sciences , gilead.com ,  , Office365 , gilead-com.mail.protection.outlook.com
Publix Super Markets , publix.com ,  , own-domain , mail.publix.com
General Dynamics , gendyn.com ,  , own-domain , mx1.gendyn.com
TJX , tjx.com , MessageLabs , unknown , cluster6.us.messagelabs.com
ConocoPhillips , conocophillips.com ,  , Office365 , conocophillips-com.mail.protection.outlook.com
Nike , nike.com , ProofPoint , unknown , mxa-001b6002.gslb.pphosted.com
World Fuel Services , wfscorp.com ,  , own-domain , smtp5.wfscorp.com
3M , 3m.com , Forcepoint , unknown , cust43457-1.in.mailcontrol.com
Mondelez International , mondelezinternational.com , CSC Global , unknown , custmx.cscdns.net
Exelon , exeloncorp.com ,  , own-domain , esa-omf-104.exeloncorp.com
Twenty-First Century Fox , 21cf.com , ProofPoint , unknown , mxb-001cd501.gslb.pphosted.com
Deere , johndeere.com , ProofPoint , unknown , mxb-000e4101.gslb.pphosted.com
Tesoro , tsocorp.com ,  , Office365 , tsocorp-com.mail.protection.outlook.com
Time Warner , timewarner.com , ProofPoint , unknown , mxa-00241e01.gslb.pphosted.com
Northwestern Mutual , northwesternmutual.com ,  , own-domain , mx30.northwesternmutual.com
DuPont , dupont.com , ProofPoint , unknown , mxa-001dcd02.gslb.pphosted.com
Avnet , avnet.com ,  , own-domain , smarthost.avnet.com
Macyês , macys.com , ProofPoint , unknown , mxb-0009cc01.gslb.pphosted.com
Enterprise Products Partners , eprod.com ,  , own-domain , smtp2.eprod.com
Travelers Cos. , spt.com ,  , own-domain , emailu.spt.com
Philip Morris International , pmi.com ,  , Office365 , pmi-com.mail.protection.outlook.com
Rite Aid , riteaid.com , ProofPoint , unknown , mxa-00005c01.gslb.pphosted.com
Tech Data , techdata.com , ProofPoint , unknown , mxb-00277801.gslb.pphosted.com
McDonaldês , mcdonalds.com ,  , own-domain , sesmail.mcdonalds.com
Qualcomm , qualcomm.com ,  , own-domain , gatewaypony01.qualcomm.com
Sears Holdings , searsholdings.com ,  , own-domain , searsholdings.com
Sears Holdings , sears.com ,  , Office365 , sears-com.mail.protection.outlook.com
Capital One Financial , capitalone.com ,  , own-domain , kimail03.capitalone.com
EMC , emc.com , Cisco , unknown , mx2.dellcorporate.iphmx.com
USAA , usaa.com ,  , own-domain , prodmx4l.usaa.com
Duke Energy , duke-energy.com ,  , own-domain , mx30.duke-energy.com
Time Warner Cable , twc.com ,  ,  , dnvrco-cmedge01.email.rr.com
Halliburton , halliburton.com , ProofPoint , unknown , mxb-0000bf01.gslb.pphosted.com
Northrop Grumman , ngc.com ,  ,  , mail1.northgrum.com
Arrow Electronics , arrow.com ,  , Office365 , arrow-com.mail.protection.outlook.com
Raytheon , raytheon.com ,  , own-domain , inbound.vetted.raytheon.com
Plains GP Holdings , plainsallamerican.com , Cyren Web Security , unknown , p.webcom.ctmail.com
US Foods Holding , usfoods.com ,  , Office365 , usfoods-com.mail.protection.outlook.com
AbbVie , abbvie.com , MessageLabs , unknown , cluster1.us.messagelabs.com
Centene , centene.com ,  , own-domain , esg.centene.com
Community Health Systems , chs.net ,  , own-domain , mail3.chs.net
Alcoa , alcoa.com ,  , own-domain , adc-dmzmx403.alcoa.com
International Paper , ipaper.com , Cisco , unknown , mx1.ipaper.iphmx.com
Emerson Electric , emerson.com , Cisco , unknown , mx1.emerson.iphmx.com
Union Pacific , up.com ,  , own-domain , meg-01.omhq.uprr.com
Amgen , amgen.com , ProofPoint , unknown , mxb-0018ee01.gslb.pphosted.com
U.S. Bancorp , usbank.com ,  , own-domain , mail1.usbank.com
Staples , staples.com ,  , Office365 , staples-com.mail.protection.outlook.com
Danaher , danaher.com , ProofPoint , unknown , mxb-001d2f01.gslb.pphosted.com
Whirlpool , whirlpool.com ,  , Google , ASPMX.L.GOOGLE.com
Aflac , aflac.com , ProofPoint , unknown , mxb-001f5701.gslb.pphosted.com
AutoNation , autonation.com ,  , Office365 , autonation-com.mail.protection.outlook.com
Progressive , progressive.com ,  , own-domain , acesap02.progressive.com
Abbott Laboratories , abbott.com ,  , Office365 , abbott-com.mail.protection.outlook.com
Dollar General , dollargeneral.com ,  , own-domain , mxgw1.dollargeneral.com
Tenet Healthcare , tenethealth.com , ProofPoint , unknown , mx0b-00259001.pphosted.com
Eli Lilly , lilly.com ,  , own-domain , maillldcprde1.xh1.lilly.com
Southwest Airlines , southwest.com ,  ,  , mail02.wnco.com
Penske Automotive Group , penskeautomotive.com , ProofPoint , unknown , mxa-00005602.gslb.pphosted.com
Penske Automotive Group , penske.com , ProofPoint , unknown , mxb-001ae501.gslb.pphosted.com
ManpowerGroup , manpower.com ,  , Office365 , manpowergroupapps.mail.protection.outlook.com
Kohlês , kohlscorporation.com , Cisco , unknown , esa3.kohlsinbound.iphmx.com
Kohlês , kohls.com , Cisco , unknown , mx1.kohlsinbound.iphmx.com
Starbucks , starbucks.com , Cisco , unknown , mx1.starbucks.iphmx.com
Paccar , paccar.com ,  , Office365 , paccar-com.mail.protection.outlook.com
Cummins , cummins.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Altria Group , altria.com ,  , Office365 , altria-com.mail.protection.outlook.com
Xerox , xerox.com , Cisco , unknown , mx2.xerox.iphmx.com
Kimberly-Clark , kimberly-clark.com ,  , Office365 , kimberlyclark-com02b.mail.protection.outlook.com
Hartford Financial Services Group , thehartford.com ,  , own-domain , hfdmailin02.thehartford.com
Kraft Heinz , kraftheinzcompany.com ,  , Office365 , kraftheinzcompany-com.mail.protection.outlook.com
Kraft Heinz , kraft.com ,  , Office365 , kraft-com.mail.protection.outlook.com
Kraft Heinz , heinz.com ,  , Office365 , heinz-com.mail.protection.outlook.com
Lear , lear.com ,  , Office365 , lear-com.mail.protection.outlook.com
Fluor , fluor.com ,  , own-domain , avsiipa006.fluor.com
AECOM , aecom.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Facebook , facebook.com ,  , own-domain , msgin.vvv.facebook.com
Jabil Circuit , jabil.com ,  , Office365 , jabil-com.mail.protection.outlook.com
CenturyLink , centurylink.com ,  , own-domain , lxomp51w.centurylink.com
Supervalu , supervalu.com ,  , Office365 , supervaluinc.mail.protection.outlook.com
General Mills , genmills.com ,  , own-domain , smtp2a.genmills.com
Southern , southerncompany.com , ProofPoint , unknown , mxb-00113601.gslb.pphosted.com
NextEra Energy , nexteraenergy.com ,  , Office365 , nexteraenergy-com.mail.protection.outlook.com
Thermo Fisher Scientific , thermofisher.com , ProofPoint , unknown , mxa-002a2102.gslb.pphosted.com
American Electric Power , aep.com ,  , own-domain , gateways1.aep.com
PG&E Corp. , pge.com ,  , own-domain , itemlmtadmz06-out.pge.com
NGL Energy Partners , nglep.com ,  , own-domain , mail1.nglep.com
