Company , Domain , SecurityGateway , Mail Domain , MX
Gannett , gannett.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
United Auto Group , unitedauto.com , ProofPoint , unknown , mxa-00005602.gslb.pphosted.com
Science Applications Intl. , saic.com ,  , own-domain , EM-MXP03.saic.com
Gateway , gateway.com , MessageLabs , unknown , cluster2.us.messagelabs.com
Saks , saksinc.com ,  , Google , ASPMX.L.GOOGLE.com
Avista , avistacorp.com ,  , _Office365 , avistacorp-com.mail.protection.outlook.com
Unisys , unisys.com ,  , _Office365 , unisys-com.mail.protection.outlook.com
Smithfield Foods , smithfieldfoods.com , MessageLabs , unknown , cluster1.us.messagelabs.com
Rohm & Haas , rohmhaas.com ,  , _Office365 , rohmhaas-com.mail.protection.outlook.com
ServiceMaster , svm.com , Cisco , unknown , mx1.servicemaster.iphmx.com
Idacorp , idahopower.com ,  , own-domain , mail.idahopower.com
Caremark Rx , caremarkrx.com , ProofPoint , unknown , mxb-0022b201.gslb.pphosted.com
Allied Waste Industries , alliedwaste.com , ProofPoint , unknown , mxa-0021b301.gslb.pphosted.com
Medtronic , medtronic.com , ProofPoint , unknown , mxb-00204301.gslb.pphosted.com
Providian Financial , providian.com , MessageLabs , unknown , cluster14.us.messagelabs.com
Federal-Mogul , federalmogul.com ,  , _Office365 , federalmogul-com.mail.protection.outlook.com
Fortune Brands , fortunebrands.com , ProofPoint , unknown , mxa-001a1201.gslb.pphosted.com
USA Networks , usanetwork.com , ProofPoint , unknown , mxb-00176a04.gslb.pphosted.com
BJ's Wholesale Club , bjs.com , ProofPoint , unknown , Mxa-00185201.gslb.pphosted.com
Ikon Office Solutions , ricoh-usa.com , ProofPoint , unknown , mxa-00145802.gslb.pphosted.com
Tribune , tribune.com ,  , _Office365 , tribmedia.mail.protection.outlook.com
TransMontaigne , transmontaigne.com , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
Engelhard , engelhard.com ,  , _Office365 , basf.mail.protection.outlook.com
Goodrich , bfgoodrich.com , MessageLabs , unknown , cluster1.eu.messagelabs.com
CNF , cnf.com , ProofPoint , unknown , mx0a-002b6701.pphosted.com
Adams Resources & Energy , adamsresources.com ,  , own-domain , mail.adamsresources.com
Pitney Bowes , pitneybowes.com ,  , _Office365 , pitneybowes-com.mail.protection.outlook.com
Dole Food , dole.com ,  , _Office365 , dolefoods.mail.protection.outlook.com
ITT Industries , itt.com ,  , own-domain , ussfa1cip-c1.ittcorp.com
KB Home , kbhome.com , ProofPoint , unknown , mxb-00141101.gslb.pphosted.com
McGraw-Hill , mheducation.com ,  , _Office365 , mheducation-com.mail.protection.outlook.com
OfficeMax , officemax.com ,  , _Office365 , officemax-com.mail.protection.outlook.com
Park Place Entertainment , parkplace.com , Barracuda , unknown , d29197a.ess.barracudanetworks.com
