Company , Domain , SecurityGateway , Mail Domain , MX
Walmart , walmart , ProofPoint , unknown , mxa-000c7201.gslb.pphosted.com
Exxon Mobil , exxonmobil ,  , own-domain , mail23h.exxonmobil.com
Apple , apple ,  , own-domain , nwk-aaemail-lapp02.apple.com
Berkshire Hathaway , berkshirehathaway , Sonic Wall , unknown , brka.com.snwlhosted.com
McKesson , mckesson ,  , own-domain , mail5.mckesson.com
UnitedHealth Group , unitedhealthgroup ,  ,  , mail21.corpmailsvcs.com
CVS Health , cvshealth , ProofPoint , unknown , mxa-0022b201.gslb.pphosted.com
General Motors , gm ,  , own-domain , mx2.imr.gm.com
Ford Motor , ford , MessageLabs , unknown , cluster4.us.messagelabs.com
AT&T , att , ProofPoint , unknown , mx0a-00191d01.pphosted.com
General Electric , ge , ProofPoint , unknown , mxa-00176a02.gslb.pphosted.com
AmerisourceBergen , amerisourcebergen , Cisco , unknown , mx1.amerisourcebergen.iphmx.com
Verizon , verizon , ProofPoint , unknown , mxa-0024a201.gslb.pphosted.com
Chevron , chevron ,  , own-domain , mix.chevron.com
Costco , costco , ProofPoint , unknown , mx0b-001f9d01.pphosted.com
Fannie Mae , fanniemae , MessageLabs , unknown , cluster5.us.messagelabs.com
Kroger , kroger ,  , own-domain , mail2.dmz.kroger.com
Amazon.com , amazon ,  , own-domain , amazon-smtp.amazon.com
Walgreens , walgreens ,  , own-domain , edge.walgreens.com
Boots , boots , Cisco , unknown , mx1.wba.c3s2.iphmx.com
HP , hp ,  , own-domain , smtp.hp.com
Cardinal Health , cardinal ,  , own-domain , smtp4.cardinal.com
Express Scripts Holding , express-scripts ,  , own-domain , ps2imail01.express-scripts.com
J.P. Morgan Chase , jpmorgan , MessageLabs , unknown , cluster14.us.messagelabs.com
Boeing , boeing ,  , own-domain , phx-mbsin-04.mbs.boeing.net
Microsoft , microsoft ,  , Office365 , microsoft-com.mail.protection.outlook.com
Bank of America Corp. , bankofamerica , ProofPoint , unknown , mxb-0000ec05.gslb.pphosted.com
Wells Fargo , wellsfargo , MessageLabs , unknown , cluster15.us.messagelabs.com
Home Depot , homedepot , ProofPoint , unknown , mxb-000e6601.gslb.pphosted.com
Citigroup , citi ,  , own-domain , mx-b.mail.citi.com
Phillips 66 , p66 , ProofPoint , unknown , mxa-001c4c01.gslb.pphosted.com
IBM , ibm , ProofPoint , unknown , mx0a-001b2d01.pphosted.com
Valero Energy , valero , MessageLabs , unknown , cluster9.us.messagelabs.com
Anthem , anthem , ProofPoint , unknown , mxb-001bee01.gslb.pphosted.com
Procter & Gamble , pg , MessageLabs , unknown , cluster8.us.messagelabs.com
State Farm Insurance Cos. , statefarm ,  , own-domain , mail4.statefarm.com
Alphabet , google ,  , Google , aspmx.l.google.com
Comcast , comcast ,  , own-domain , mx30.comcast.com
Target , target ,  , own-domain , smtp01.target.com
Johnson & Johnson , jnj , Cisco , unknown , mx2.jnj.iphmx.com
MetLife , metlife ,  , own-domain , ms29.metlife.com
Archer Daniels Midland , adm ,  , Office365 , adm-com.mail.protection.outlook.com
Marathon Petroleum , marathonpetroleum ,  , Office365 , marathonpetroleum-com.mail.protection.outlook.com
Freddie Mac , freddiemac ,  , own-domain , he2xmail002.freddiemac.com
PepsiCo , pepsico ,  , own-domain , mail.pepsico.com
United Technologies , utc , ProofPoint , unknown , mxb-00105401.gslb.pphosted.com
Aetna , aetna ,  , own-domain , inboundemail.aei.aetna.com
LoweÕs , lowes ,  , own-domain , mail3.lowes.com
UPS , ups ,  , own-domain , email2-vip.ups.com
AIG , aig ,  , own-domain , am2mxi02.aig.com
Prudential Financial , prudential ,  , own-domain , mailgate2.prudential.com
Intel , intel ,  , own-domain , mga03.intel.com
Humana , humana , MessageLabs , unknown , cluster5.us.messagelabs.com
Disney , disney , MessageLabs , unknown , cluster6.us.messagelabs.com
Cisco Systems , cisco ,  , own-domain , alln-mx-01.cisco.com
Pfizer , pfizer , ProofPoint , unknown , mxb-00013f02.gslb.pphosted.com
Dow Chemical , dow ,  , Office365 , dow-com.mail.protection.outlook.com
Sysco , sysco , ProofPoint , unknown , mxb-00133a01.gslb.pphosted.com
FedEx , fedex ,  , own-domain , mapper.gslb.fedex.com
Caterpillar , cat ,  , own-domain , mail2.cat.com
Lockheed Martin , lmco ,  , own-domain , mailfi02.lmco.com
New York Life Insurance , newyorklife ,  , own-domain , smtp.sd.newyorklife.com
Coca-Cola , ko ,  , Office365 , ko-com.mail.protection.outlook.com
Coca-Cola , coca-cola ,  , Office365 , cocacola-com01b.mail.protection.outlook.com
HCA Holdings , hcahealthcare ,  ,  , smtpa.mail.medcity.net
Ingram Micro , ingrammicro , ProofPoint , unknown , mx0a-0021cb01.pphosted.com
Energy Transfer Equity , energytransfer , Cisco , unknown , esa2.energytransfer.iphmx.com
Tyson Foods , tyson ,  , own-domain , pps2.tyson.com
American Airlines Group , aa ,  , Office365 , aa-com.mail.protection.outlook.com
Delta Air Lines , delta , Cisco , unknown , mx1.delta.iphmx.com
Nationwide , nationwide ,  , own-domain , pepper.nationwide.com
Johnson Controls , jci ,  , Office365 , jci-com.mail.protection.outlook.com
Best Buy , bestbuy , ProofPoint , unknown , mxa-002a6b01.gslb.pphosted.com
Merck , merck ,  , own-domain , taz.merck.com
Liberty Mutual Insurance Group , lmig ,  , own-domain , mx4.lmig.com
Goldman Sachs Group , gs , ProofPoint , unknown , mxa-0014b501.gslb.pphosted.com
Honeywell International , honeywell ,  , Office365 , honeywell-com.mail.protection.outlook.com
Massachusetts Mutual Life Insurance , massmutual , ProofPoint , unknown , mxa-00108d02.gslb.pphosted.com
Oracle , oracle ,  , own-domain , aserp2040.oracle.com
Morgan Stanley , morganstanley ,  , own-domain , mx1.morganstanley.com
Cigna , cigna , ProofPoint , unknown , mxa-000e5c01.gslb.pphosted.com
United Continental Holdings , ual ,  , own-domain , gwusa.ual.com
Allstate , allstate ,  , own-domain , vap0118.allstate.com
TIAA , tiaa ,  , own-domain , cobmc1m4isea01.tiaa-cref.org
INTL FCStone , intlfcstone , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
CHS , chsinc , ProofPoint , unknown , mxa-002ae201.gslb.pphosted.com
American Express , aexp , ProofPoint , unknown , mx0a-0023b801.pphosted.com
Gilead Sciences , gilead ,  , Office365 , gilead-com.mail.protection.outlook.com
Publix Super Markets , publix ,  , own-domain , mail.publix.com
General Dynamics , gendyn ,  , own-domain , mx1.gendyn.com
TJX , tjx , MessageLabs , unknown , cluster6.us.messagelabs.com
ConocoPhillips , conocophillips ,  , Office365 , conocophillips-com.mail.protection.outlook.com
Nike , nike , ProofPoint , unknown , mxa-001b6002.gslb.pphosted.com
World Fuel Services , wfscorp ,  , own-domain , smtp6.wfscorp.com
3M , 3m , Forcepoint , unknown , cust43457-1.in.mailcontrol.com
Mondelez International , mondelezinternational , CSC Global , unknown , custmx.cscdns.net
Exelon , exeloncorp ,  , own-domain , esa-omf-101.exeloncorp.com
Twenty-First Century Fox , 21cf , ProofPoint , unknown , mxa-001cd501.gslb.pphosted.com
Deere , johndeere , ProofPoint , unknown , mxa-000e4101.gslb.pphosted.com
Tesoro , tsocorp ,  , Office365 , tsocorp-com.mail.protection.outlook.com
Time Warner , timewarner , ProofPoint , unknown , mxa-00241e01.gslb.pphosted.com
Northwestern Mutual , northwesternmutual ,  , own-domain , mx30.northwesternmutual.com
DuPont , dupont , ProofPoint , unknown , mxa-001dcd02.gslb.pphosted.com
Avnet , avnet ,  , own-domain , smarthost.avnet.com
MacyÕs , macys , ProofPoint , unknown , mxa-0009cc01.gslb.pphosted.com
Enterprise Products Partners , eprod ,  , own-domain , smtp2.eprod.com
Travelers Cos. , spt ,  , own-domain , emailv.spt.com
Philip Morris International , pmi ,  , Office365 , pmi-com.mail.protection.outlook.com
Rite Aid , riteaid , ProofPoint , unknown , mxb-00005c01.gslb.pphosted.com
Tech Data , techdata , ProofPoint , unknown , mxa-00277801.gslb.pphosted.com
McDonaldÕs , mcdonalds ,  , own-domain , sesmail.mcdonalds.com
